"#","Name","Laps","Lead Lap","Lap Time","Lap Time (ms)","Elapsed Time","Elapsed Time (ms)","Passing Tm","Class","Flag","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","entry","drivers","S1","S1 (ms)","S2","S2 (ms)","S3","S3 (ms)","S1a","S1a (ms)","S1b","S1b (ms)","S2a","S2a (ms)","S2b","S2b (ms)","S3a","S3a (ms)","S3b","S3b (ms)"
"2","Will Robusto","1","1","2:13.572",133572,"2:22.938",142938,"9:17:23.074","Am","Green Flag","Will","Robusto","","","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","13680718","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Will"",""transponderNumber"":""13680718"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver3licenseNationality"":"""",""driver3nationality"":"""",""number"":""2"",""driver2driverId"":"""",""driver1driverId"":"""",""isIGTC"":"""",""car"":""Toyota GR86"",""sponsors"":""RVA Graphics and Wraps"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver3category"":"""",""driver3lastName"":"""",""driver1nationality"":""USA"",""racelinkNumber"":""219195"",""team"":""RVA Graphics Motorsports by Speed Syndicate"",""driver1lastName"":""Robusto"",""driver2firstName"":"""",""driver2lastName"":"""",""driver3driverId"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup"",""driver3firstName"":""""},""updatedAt"":""2024-10-03T14:41:13.195Z"",""id"":""entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF"",""createdAt"":""2024-10-01T22:08:24.809Z"",""eventId"":""events:2024-sro-ims""}","{"""":{""driverFirstName"":""Will"",""driverLastName"":""Robusto"",""driverName"":""Will Robusto"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","01:02.774",62774,"37.881",37881,"32.917",32917,"00:51.712",51712,"00:11.062",11062,"00:20.320",20320,"00:17.561",17561,"00:12.952",12952,"00:19.965",19965
"2","Will Robusto","2","2","1:40.936",100936,"4:03.874",243874,"9:19:04.010","Am","Green Flag","Will","Robusto","","","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","13680718","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Will"",""transponderNumber"":""13680718"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver3licenseNationality"":"""",""driver3nationality"":"""",""number"":""2"",""driver2driverId"":"""",""driver1driverId"":"""",""isIGTC"":"""",""car"":""Toyota GR86"",""sponsors"":""RVA Graphics and Wraps"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver3category"":"""",""driver3lastName"":"""",""driver1nationality"":""USA"",""racelinkNumber"":""219195"",""team"":""RVA Graphics Motorsports by Speed Syndicate"",""driver1lastName"":""Robusto"",""driver2firstName"":"""",""driver2lastName"":"""",""driver3driverId"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup"",""driver3firstName"":""""},""updatedAt"":""2024-10-03T14:41:13.195Z"",""id"":""entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF"",""createdAt"":""2024-10-01T22:08:24.809Z"",""eventId"":""events:2024-sro-ims""}","{"""":{""driverFirstName"":""Will"",""driverLastName"":""Robusto"",""driverName"":""Will Robusto"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","34.576",34576,"34.598",34598,"31.762",31762,"00:24.454",24454,"00:10.122",10122,"00:19.362",19362,"00:15.236",15236,"00:12.036",12036,"00:19.726",19726
"2","Will Robusto","3","3","1:39.902",99902,"5:43.776",343776,"9:20:43.912","Am","Green Flag","Will","Robusto","","","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","13680718","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Will"",""transponderNumber"":""13680718"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver3licenseNationality"":"""",""driver3nationality"":"""",""number"":""2"",""driver2driverId"":"""",""driver1driverId"":"""",""isIGTC"":"""",""car"":""Toyota GR86"",""sponsors"":""RVA Graphics and Wraps"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver3category"":"""",""driver3lastName"":"""",""driver1nationality"":""USA"",""racelinkNumber"":""219195"",""team"":""RVA Graphics Motorsports by Speed Syndicate"",""driver1lastName"":""Robusto"",""driver2firstName"":"""",""driver2lastName"":"""",""driver3driverId"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup"",""driver3firstName"":""""},""updatedAt"":""2024-10-03T14:41:13.195Z"",""id"":""entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF"",""createdAt"":""2024-10-01T22:08:24.809Z"",""eventId"":""events:2024-sro-ims""}","{"""":{""driverFirstName"":""Will"",""driverLastName"":""Robusto"",""driverName"":""Will Robusto"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","34.113",34113,"34.198",34198,"31.591",31591,"00:24.029",24029,"00:10.084",10084,"00:18.894",18894,"00:15.304",15304,"00:12.145",12145,"00:19.446",19446
"2","Will Robusto","4","4","1:40.536",100536,"7:24.312",444312,"9:22:24.448","Am","Green Flag","Will","Robusto","","","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","13680718","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Will"",""transponderNumber"":""13680718"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver3licenseNationality"":"""",""driver3nationality"":"""",""number"":""2"",""driver2driverId"":"""",""driver1driverId"":"""",""isIGTC"":"""",""car"":""Toyota GR86"",""sponsors"":""RVA Graphics and Wraps"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver3category"":"""",""driver3lastName"":"""",""driver1nationality"":""USA"",""racelinkNumber"":""219195"",""team"":""RVA Graphics Motorsports by Speed Syndicate"",""driver1lastName"":""Robusto"",""driver2firstName"":"""",""driver2lastName"":"""",""driver3driverId"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup"",""driver3firstName"":""""},""updatedAt"":""2024-10-03T14:41:13.195Z"",""id"":""entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF"",""createdAt"":""2024-10-01T22:08:24.809Z"",""eventId"":""events:2024-sro-ims""}","{"""":{""driverFirstName"":""Will"",""driverLastName"":""Robusto"",""driverName"":""Will Robusto"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","34.556",34556,"34.193",34193,"31.787",31787,"00:24.438",24438,"00:10.118",10118,"00:18.902",18902,"00:15.291",15291,"00:12.373",12373,"00:19.414",19414
"2","Will Robusto","5","5","1:40.014",100014,"9:04.326",544326,"9:24:04.462","Am","Green Flag","Will","Robusto","","","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","13680718","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Will"",""transponderNumber"":""13680718"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver3licenseNationality"":"""",""driver3nationality"":"""",""number"":""2"",""driver2driverId"":"""",""driver1driverId"":"""",""isIGTC"":"""",""car"":""Toyota GR86"",""sponsors"":""RVA Graphics and Wraps"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver3category"":"""",""driver3lastName"":"""",""driver1nationality"":""USA"",""racelinkNumber"":""219195"",""team"":""RVA Graphics Motorsports by Speed Syndicate"",""driver1lastName"":""Robusto"",""driver2firstName"":"""",""driver2lastName"":"""",""driver3driverId"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup"",""driver3firstName"":""""},""updatedAt"":""2024-10-03T14:41:13.195Z"",""id"":""entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF"",""createdAt"":""2024-10-01T22:08:24.809Z"",""eventId"":""events:2024-sro-ims""}","{"""":{""driverFirstName"":""Will"",""driverLastName"":""Robusto"",""driverName"":""Will Robusto"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","34.197",34197,"34.145",34145,"31.672",31672,"00:24.071",24071,"00:10.126",10126,"00:18.873",18873,"00:15.272",15272,"00:12.110",12110,"00:19.562",19562
"2","Will Robusto","6","6","1:40.695",100695,"10:45.021",645021,"9:25:45.157","Am","Green Flag","Will","Robusto","","","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","13680718","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Will"",""transponderNumber"":""13680718"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver3licenseNationality"":"""",""driver3nationality"":"""",""number"":""2"",""driver2driverId"":"""",""driver1driverId"":"""",""isIGTC"":"""",""car"":""Toyota GR86"",""sponsors"":""RVA Graphics and Wraps"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver3category"":"""",""driver3lastName"":"""",""driver1nationality"":""USA"",""racelinkNumber"":""219195"",""team"":""RVA Graphics Motorsports by Speed Syndicate"",""driver1lastName"":""Robusto"",""driver2firstName"":"""",""driver2lastName"":"""",""driver3driverId"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup"",""driver3firstName"":""""},""updatedAt"":""2024-10-03T14:41:13.195Z"",""id"":""entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF"",""createdAt"":""2024-10-01T22:08:24.809Z"",""eventId"":""events:2024-sro-ims""}","{"""":{""driverFirstName"":""Will"",""driverLastName"":""Robusto"",""driverName"":""Will Robusto"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","34.293",34293,"34.381",34381,"32.021",32021,"00:24.087",24087,"00:10.206",10206,"00:18.779",18779,"00:15.602",15602,"00:12.569",12569,"00:19.452",19452
"3","Jason Kos","1","1","2:17.904",137904,"2:39.524",159524,"9:17:39.660","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-ims:Ja2UDPE3ia3HY17sa320N","entries:events-2024-sro-ims:Ja2UDPE3ia3HY17sa320N","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver3licenseNationality"":"""",""driver3nationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""isIGTC"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver3category"":"""",""driver3lastName"":"""",""driver1nationality"":""USA"",""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver3driverId"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup"",""driver3firstName"":""""},""updatedAt"":""2024-10-02T17:42:44.197Z"",""id"":""entries:events-2024-sro-ims:Ja2UDPE3ia3HY17sa320N"",""createdAt"":""2024-10-01T22:08:25.002Z"",""eventId"":""events:2024-sro-ims""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","01:04.579",64579,"40.084",40084,"33.241",33241,"00:53.083",53083,"00:11.496",11496,"00:22.774",22774,"00:17.310",17310,"00:13.361",13361,"00:19.880",19880
"3","Jason Kos","2","2","1:42.916",102916,"4:22.440",262440,"9:19:22.576","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-ims:Ja2UDPE3ia3HY17sa320N","entries:events-2024-sro-ims:Ja2UDPE3ia3HY17sa320N","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver3licenseNationality"":"""",""driver3nationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""isIGTC"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver3category"":"""",""driver3lastName"":"""",""driver1nationality"":""USA"",""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver3driverId"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup"",""driver3firstName"":""""},""updatedAt"":""2024-10-02T17:42:44.197Z"",""id"":""entries:events-2024-sro-ims:Ja2UDPE3ia3HY17sa320N"",""createdAt"":""2024-10-01T22:08:25.002Z"",""eventId"":""events:2024-sro-ims""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","34.952",34952,"35.232",35232,"32.732",32732,"00:24.581",24581,"00:10.371",10371,"00:19.421",19421,"00:15.811",15811,"00:12.501",12501,"00:20.231",20231
"3","Jason Kos","3","3","1:41.561",101561,"6:04.001",364001,"9:21:04.137","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-ims:Ja2UDPE3ia3HY17sa320N","entries:events-2024-sro-ims:Ja2UDPE3ia3HY17sa320N","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver3licenseNationality"":"""",""driver3nationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""isIGTC"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver3category"":"""",""driver3lastName"":"""",""driver1nationality"":""USA"",""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver3driverId"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup"",""driver3firstName"":""""},""updatedAt"":""2024-10-02T17:42:44.197Z"",""id"":""entries:events-2024-sro-ims:Ja2UDPE3ia3HY17sa320N"",""createdAt"":""2024-10-01T22:08:25.002Z"",""eventId"":""events:2024-sro-ims""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","34.838",34838,"34.687",34687,"32.036",32036,"00:24.458",24458,"00:10.380",10380,"00:19.062",19062,"00:15.625",15625,"00:12.248",12248,"00:19.788",19788
"3","Jason Kos","4","4","1:41.506",101506,"7:45.507",465507,"9:22:45.643","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-ims:Ja2UDPE3ia3HY17sa320N","entries:events-2024-sro-ims:Ja2UDPE3ia3HY17sa320N","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver3licenseNationality"":"""",""driver3nationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""isIGTC"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver3category"":"""",""driver3lastName"":"""",""driver1nationality"":""USA"",""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver3driverId"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup"",""driver3firstName"":""""},""updatedAt"":""2024-10-02T17:42:44.197Z"",""id"":""entries:events-2024-sro-ims:Ja2UDPE3ia3HY17sa320N"",""createdAt"":""2024-10-01T22:08:25.002Z"",""eventId"":""events:2024-sro-ims""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","34.634",34634,"34.893",34893,"31.979",31979,"00:24.399",24399,"00:10.235",10235,"00:19.171",19171,"00:15.722",15722,"00:12.207",12207,"00:19.772",19772
