DriverName,Laps,S1,S2,S3,Lap Time,Predicted Lap Time,Lap Delta,Pit Stop,AnomalyFlag
Will Robusto,1,62.774,37.881,32.917,133.572,133.46794999999997,,True,False
Will Robusto,2,34.576,34.598,31.762,100.936,100.90381999999994,-32.635999999999996,True,False
Will Robusto,3,34.113,34.198,31.591,99.902,99.93223000000002,-1.034000000000006,False,False
Will Robusto,4,34.556,34.193,31.787,100.536,100.57139000000008,0.6340000000000003,True,False
Will Robusto,5,34.197,34.145,31.672,100.01400000000001,99.98339999999995,-0.5219999999999914,True,False
Will Robusto,6,34.293,34.381,32.021,100.695,100.76990999999994,0.6809999999999832,True,False
Jason Kos,1,64.579,40.084,33.241,137.904,137.71087,,True,False
Jason Kos,2,34.952,35.232,32.732,102.916,102.87282999999998,-34.988,True,False
Jason Kos,3,34.838,34.687,32.036,101.561,101.52866999999988,-1.3549999999999898,True,False
Jason Kos,4,34.634,34.893,31.979,101.506,101.55238000000001,-0.05500000000000682,True,False
Jason Kos,5,34.977,34.844,32.073,101.894,102.03734999999998,0.38800000000000523,True,False
Jason Kos,6,34.601,34.943,31.911,101.455,101.47222999999997,-0.43900000000000716,True,False
Jason Kos,7,34.937,34.761,31.965,101.663,101.67676999999992,0.2079999999999984,True,False
Jason Kos,8,34.953,34.937,32.873,102.763,102.7661000000001,1.1000000000000085,True,False
Jason Kos,9,35.486,34.839,32.041,102.366,102.38001999999999,-0.39700000000000557,True,False
Gresham Wagner,1,34.611,34.344,31.863,100.818,100.92854000000003,,True,False
Gresham Wagner,2,34.32,34.272,31.699,100.291,100.36678000000003,-0.527000000000001,True,False
Gresham Wagner,3,35.206,35.256,31.69,102.152,102.24891000000005,1.8610000000000042,True,False
Gresham Wagner,4,34.316,34.117,31.451,99.884,100.16469000000002,-2.2680000000000007,False,False
Gresham Wagner,5,34.257,34.539,31.849,100.64500000000001,100.49790000000004,0.7610000000000099,True,False
Gresham Wagner,6,34.327,34.262,34.053,102.642,102.75753999999992,1.9969999999999857,True,False
Gresham Wagner,7,34.288,34.293,36.714,105.295,104.54235,2.653000000000006,True,False
Gresham Wagner,8,34.251,33.957,31.613,99.821,99.89449999999995,-5.474000000000004,False,False
Maddie Aust,1,36.282,35.668,32.018,103.968,103.88925000000003,,True,False
Maddie Aust,2,34.609,34.622,31.968,101.199,101.21960999999997,-2.7690000000000055,True,False
Maddie Aust,3,34.602,34.763,32.125,101.49000000000001,101.59478000000001,0.291000000000011,True,False
Maddie Aust,4,34.893,34.574,32.111,101.578,101.55073,0.08799999999999386,True,False
Maddie Aust,5,34.462,34.691,31.846,100.999,100.96396999999992,-0.5790000000000077,True,False
Maddie Aust,6,34.532,34.834,32.342,101.708,101.71253999999998,0.7090000000000032,True,False
Maddie Aust,7,34.771,34.908,32.313,101.99199999999999,101.96462000000007,0.2839999999999918,True,False
Maddie Aust,8,34.75,34.915,32.176,101.84100000000001,101.91480000000006,-0.15099999999998204,True,False
Jack Woodfin,1,63.656,36.664,33.004,133.324,132.94536000000005,,True,False
Jack Woodfin,2,35.841,36.094,32.91,104.845,104.8261699999999,-28.479000000000013,True,False
Jack Woodfin,3,35.515,35.187,32.355,103.057,102.91631,-1.7879999999999967,True,False
Jack Woodfin,4,35.304,35.703,32.538,103.545,103.51147000000005,0.48799999999999955,True,False
Jack Woodfin,5,35.066,35.188,32.637,102.89099999999999,102.9060399999999,-0.6540000000000106,True,False
Jack Woodfin,6,35.455,35.631,33.121,104.207,104.23237000000012,1.3160000000000025,True,False
Jack Woodfin,7,35.389,35.385,33.692,104.46600000000001,104.70970000000013,0.25900000000001455,True,False
Jack Woodfin,8,35.307,35.559,33.287,104.15299999999999,104.13248000000007,-0.3130000000000166,True,False
Jack Woodfin,9,35.827,35.411,32.608,103.846,103.83447999999987,-0.30699999999998795,True,False
Westin Workman,1,34.566,34.421,31.669,100.656,100.66242000000015,,True,False
Westin Workman,2,34.205,34.165,31.457,99.827,99.87903999999999,-0.8290000000000077,False,False
Westin Workman,3,34.158,34.248,31.597,100.003,100.01544000000001,0.17600000000000193,True,False
Westin Workman,4,34.068,34.066,31.728,99.862,99.8510599999999,-0.14100000000000534,False,False
Westin Workman,5,34.686,34.54,34.312,103.538,103.43935999999994,3.676000000000002,True,False
Westin Workman,6,34.063,34.06,31.654,99.777,99.83784999999993,-3.7609999999999957,False,False
Westin Workman,7,34.934,36.111,32.136,103.181,103.17154999999998,3.4039999999999964,True,False
Westin Workman,8,34.109,33.995,31.749,99.85300000000001,99.86123999999994,-3.3279999999999887,False,False
Alex Garcia,1,63.513,36.968,32.619,133.1,132.96107000000012,,True,False
Alex Garcia,2,35.082,34.977,32.204,102.263,102.29732000000001,-30.83699999999999,True,False
Alex Garcia,3,34.881,34.606,31.972,101.459,101.41725000000001,-0.804000000000002,True,False
Alex Garcia,4,34.797,34.557,31.883,101.237,101.19202999999997,-0.2220000000000084,True,False
Alex Garcia,5,34.435,34.558,31.645,100.638,100.62147000000006,-0.5989999999999895,True,False
Alex Garcia,6,34.489,34.408,31.859,100.756,100.74700000000001,0.117999999999995,True,False
Alex Garcia,7,34.549,34.511,32.703,101.763,101.76382000000005,1.007000000000005,True,False
Alex Garcia,8,41.611,34.834,31.957,108.402,106.04413000000004,6.638999999999996,True,False
Alex Garcia,9,34.512,34.48,31.884,100.876,100.87052000000011,-7.525999999999996,True,False
Jordan RickSegrini,1,34.602,34.597,31.641,100.84,100.89120000000008,,True,False
Jordan RickSegrini,2,34.33,34.845,31.54,100.715,100.87984000000007,-0.125,True,False
Jordan RickSegrini,3,34.363,34.346,31.615,100.324,100.34448999999995,-0.39100000000000534,True,False
Jordan RickSegrini,4,34.157,34.207,31.601,99.965,99.97071000000007,-0.35899999999999466,False,False
Jordan RickSegrini,5,34.301,34.394,31.744,100.439,100.46604000000008,0.47399999999998954,True,False
Jordan RickSegrini,6,34.227,34.23,31.969,100.426,100.41140000000007,-0.012999999999991019,True,False
Jordan RickSegrini,7,34.201,34.175,32.09,100.46600000000001,100.55509000000015,0.04000000000000625,True,False
Jordan RickSegrini,8,34.892,35.505,32.431,102.828,102.84131000000005,2.3619999999999948,True,False
Ramon Llano,1,72.788,45.704,35.778,154.27,151.0658400000002,,True,True
Ramon Llano,2,37.17,36.907,33.174,107.251,106.64651999999998,-47.019000000000005,True,False
Ramon Llano,3,41.595,36.658,33.079,111.332,106.73209999999997,4.080999999999989,True,True
Ramon Llano,4,36.552,36.459,32.991,106.00200000000001,105.87635999999995,-5.329999999999984,True,False
Ramon Llano,5,35.911,36.692,32.796,105.399,105.34020999999996,-0.6030000000000086,True,False
Ramon Llano,6,36.121,35.704,33.153,104.97800000000001,104.82366999999991,-0.42099999999999227,True,False
Ramon Llano,7,35.723,35.78,33.27,104.773,104.74331999999998,-0.2050000000000125,True,False
Ramon Llano,8,35.756,36.63,34.053,106.439,106.35812000000008,1.6659999999999968,True,False
Ford Koch,1,65.585,40.174,33.532,139.291,139.07944999999984,,True,False
Ford Koch,2,34.987,34.718,32.092,101.797,101.81090999999995,-37.494,True,False
