"#","Name","Laps","Lead Lap","Lap Time","Lap Time (ms)","Elapsed Time","Elapsed Time (ms)","Passing Tm","Class","Flag","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","entry","drivers","S1","S1 (ms)","S2","S2 (ms)","S3","S3 (ms)","S1a","S1a (ms)","S1b","S1b (ms)","S2a","S2a (ms)","S2b","S2b (ms)","S3a","S3a (ms)","S3b","S3b (ms)"
"2","Will Robusto","1","1","2:09.870",129870,"2:19.026",139026,"16:52:19.333","Am","Green Flag","Will","Robusto","","","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","13680718","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Will"",""transponderNumber"":""13680718"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver3licenseNationality"":"""",""driver3nationality"":"""",""number"":""2"",""driver2driverId"":"""",""driver1driverId"":"""",""isIGTC"":"""",""car"":""Toyota GR86"",""sponsors"":""RVA Graphics and Wraps"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver3category"":"""",""driver3lastName"":"""",""driver1nationality"":""USA"",""racelinkNumber"":""219195"",""team"":""RVA Graphics Motorsports by Speed Syndicate"",""driver1lastName"":""Robusto"",""driver2firstName"":"""",""driver2lastName"":"""",""driver3driverId"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup"",""driver3firstName"":""""},""updatedAt"":""2024-10-03T14:41:13.195Z"",""id"":""entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF"",""createdAt"":""2024-10-01T22:08:24.809Z"",""eventId"":""events:2024-sro-ims""}","{"""":{""driverFirstName"":""Will"",""driverLastName"":""Robusto"",""driverName"":""Will Robusto"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","01:01.887",61887,"35.826",35826,"32.157",32157,"00:51.022",51022,"00:10.865",10865,"00:20.090",20090,"00:15.736",15736,"00:12.345",12345,"00:19.812",19812
"2","Will Robusto","2","2","1:42.698",102698,"4:01.724",241724,"16:54:02.031","Am","Green Flag","Will","Robusto","","","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","13680718","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Will"",""transponderNumber"":""13680718"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver3licenseNationality"":"""",""driver3nationality"":"""",""number"":""2"",""driver2driverId"":"""",""driver1driverId"":"""",""isIGTC"":"""",""car"":""Toyota GR86"",""sponsors"":""RVA Graphics and Wraps"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver3category"":"""",""driver3lastName"":"""",""driver1nationality"":""USA"",""racelinkNumber"":""219195"",""team"":""RVA Graphics Motorsports by Speed Syndicate"",""driver1lastName"":""Robusto"",""driver2firstName"":"""",""driver2lastName"":"""",""driver3driverId"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup"",""driver3firstName"":""""},""updatedAt"":""2024-10-03T14:41:13.195Z"",""id"":""entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF"",""createdAt"":""2024-10-01T22:08:24.809Z"",""eventId"":""events:2024-sro-ims""}","{"""":{""driverFirstName"":""Will"",""driverLastName"":""Robusto"",""driverName"":""Will Robusto"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","35.955",35955,"35.019",35019,"31.724",31724,"00:25.102",25102,"00:10.853",10853,"00:19.687",19687,"00:15.332",15332,"00:11.954",11954,"00:19.770",19770
"2","Will Robusto","3","3","1:41.776",101776,"5:43.500",343500,"16:55:43.807","Am","Green Flag","Will","Robusto","","","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","13680718","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Will"",""transponderNumber"":""13680718"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver3licenseNationality"":"""",""driver3nationality"":"""",""number"":""2"",""driver2driverId"":"""",""driver1driverId"":"""",""isIGTC"":"""",""car"":""Toyota GR86"",""sponsors"":""RVA Graphics and Wraps"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver3category"":"""",""driver3lastName"":"""",""driver1nationality"":""USA"",""racelinkNumber"":""219195"",""team"":""RVA Graphics Motorsports by Speed Syndicate"",""driver1lastName"":""Robusto"",""driver2firstName"":"""",""driver2lastName"":"""",""driver3driverId"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup"",""driver3firstName"":""""},""updatedAt"":""2024-10-03T14:41:13.195Z"",""id"":""entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF"",""createdAt"":""2024-10-01T22:08:24.809Z"",""eventId"":""events:2024-sro-ims""}","{"""":{""driverFirstName"":""Will"",""driverLastName"":""Robusto"",""driverName"":""Will Robusto"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","34.291",34291,"34.680",34680,"32.805",32805,"00:24.136",24136,"00:10.155",10155,"00:19.436",19436,"00:15.244",15244,"00:13.231",13231,"00:19.574",19574
"2","Will Robusto","4","4","1:41.144",101144,"7:24.644",444644,"16:57:24.951","Am","Green Flag","Will","Robusto","","","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","13680718","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Will"",""transponderNumber"":""13680718"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver3licenseNationality"":"""",""driver3nationality"":"""",""number"":""2"",""driver2driverId"":"""",""driver1driverId"":"""",""isIGTC"":"""",""car"":""Toyota GR86"",""sponsors"":""RVA Graphics and Wraps"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver3category"":"""",""driver3lastName"":"""",""driver1nationality"":""USA"",""racelinkNumber"":""219195"",""team"":""RVA Graphics Motorsports by Speed Syndicate"",""driver1lastName"":""Robusto"",""driver2firstName"":"""",""driver2lastName"":"""",""driver3driverId"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup"",""driver3firstName"":""""},""updatedAt"":""2024-10-03T14:41:13.195Z"",""id"":""entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF"",""createdAt"":""2024-10-01T22:08:24.809Z"",""eventId"":""events:2024-sro-ims""}","{"""":{""driverFirstName"":""Will"",""driverLastName"":""Robusto"",""driverName"":""Will Robusto"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","34.458",34458,"34.751",34751,"31.935",31935,"00:24.119",24119,"00:10.339",10339,"00:19.232",19232,"00:15.519",15519,"00:12.380",12380,"00:19.555",19555
"2","Will Robusto","5","5","1:47.189",107189,"9:11.833",551833,"16:59:12.140","Am","Green Flag","Will","Robusto","","","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","13680718","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Will"",""transponderNumber"":""13680718"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver3licenseNationality"":"""",""driver3nationality"":"""",""number"":""2"",""driver2driverId"":"""",""driver1driverId"":"""",""isIGTC"":"""",""car"":""Toyota GR86"",""sponsors"":""RVA Graphics and Wraps"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver3category"":"""",""driver3lastName"":"""",""driver1nationality"":""USA"",""racelinkNumber"":""219195"",""team"":""RVA Graphics Motorsports by Speed Syndicate"",""driver1lastName"":""Robusto"",""driver2firstName"":"""",""driver2lastName"":"""",""driver3driverId"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup"",""driver3firstName"":""""},""updatedAt"":""2024-10-03T14:41:13.195Z"",""id"":""entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF"",""createdAt"":""2024-10-01T22:08:24.809Z"",""eventId"":""events:2024-sro-ims""}","{"""":{""driverFirstName"":""Will"",""driverLastName"":""Robusto"",""driverName"":""Will Robusto"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","34.635",34635,"34.598",34598,"37.956",37956,"00:24.307",24307,"00:10.328",10328,"00:19.194",19194,"00:15.404",15404,,,,
"2","Will Robusto","6","6","1:44.451",104451,"10:56.284",656284,"17:00:56.591","Am","Green Flag","Will","Robusto","","","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","13680718","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Will"",""transponderNumber"":""13680718"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver3licenseNationality"":"""",""driver3nationality"":"""",""number"":""2"",""driver2driverId"":"""",""driver1driverId"":"""",""isIGTC"":"""",""car"":""Toyota GR86"",""sponsors"":""RVA Graphics and Wraps"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver3category"":"""",""driver3lastName"":"""",""driver1nationality"":""USA"",""racelinkNumber"":""219195"",""team"":""RVA Graphics Motorsports by Speed Syndicate"",""driver1lastName"":""Robusto"",""driver2firstName"":"""",""driver2lastName"":"""",""driver3driverId"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup"",""driver3firstName"":""""},""updatedAt"":""2024-10-03T14:41:13.195Z"",""id"":""entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF"",""createdAt"":""2024-10-01T22:08:24.809Z"",""eventId"":""events:2024-sro-ims""}","{"""":{""driverFirstName"":""Will"",""driverLastName"":""Robusto"",""driverName"":""Will Robusto"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","37.412",37412,"35.288",35288,"31.751",31751,"00:26.951",26951,"00:10.461",10461,"00:19.410",19410,"00:15.878",15878,"00:12.172",12172,"00:19.579",19579
"2","Will Robusto","7","7","1:40.980",100980,"12:37.264",757264,"17:02:37.571","Am","Green Flag","Will","Robusto","","","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","13680718","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Will"",""transponderNumber"":""13680718"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver3licenseNationality"":"""",""driver3nationality"":"""",""number"":""2"",""driver2driverId"":"""",""driver1driverId"":"""",""isIGTC"":"""",""car"":""Toyota GR86"",""sponsors"":""RVA Graphics and Wraps"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver3category"":"""",""driver3lastName"":"""",""driver1nationality"":""USA"",""racelinkNumber"":""219195"",""team"":""RVA Graphics Motorsports by Speed Syndicate"",""driver1lastName"":""Robusto"",""driver2firstName"":"""",""driver2lastName"":"""",""driver3driverId"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup"",""driver3firstName"":""""},""updatedAt"":""2024-10-03T14:41:13.195Z"",""id"":""entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF"",""createdAt"":""2024-10-01T22:08:24.809Z"",""eventId"":""events:2024-sro-ims""}","{"""":{""driverFirstName"":""Will"",""driverLastName"":""Robusto"",""driverName"":""Will Robusto"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","34.431",34431,"34.583",34583,"31.966",31966,"00:24.172",24172,"00:10.259",10259,"00:19.112",19112,"00:15.471",15471,"00:12.237",12237,"00:19.729",19729
"2","Will Robusto","8","8","1:41.420",101420,"14:18.684",858684,"17:04:18.991","Am","Green Flag","Will","Robusto","","","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","13680718","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Will"",""transponderNumber"":""13680718"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver3licenseNationality"":"""",""driver3nationality"":"""",""number"":""2"",""driver2driverId"":"""",""driver1driverId"":"""",""isIGTC"":"""",""car"":""Toyota GR86"",""sponsors"":""RVA Graphics and Wraps"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver3category"":"""",""driver3lastName"":"""",""driver1nationality"":""USA"",""racelinkNumber"":""219195"",""team"":""RVA Graphics Motorsports by Speed Syndicate"",""driver1lastName"":""Robusto"",""driver2firstName"":"""",""driver2lastName"":"""",""driver3driverId"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup"",""driver3firstName"":""""},""updatedAt"":""2024-10-03T14:41:13.195Z"",""id"":""entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF"",""createdAt"":""2024-10-01T22:08:24.809Z"",""eventId"":""events:2024-sro-ims""}","{"""":{""driverFirstName"":""Will"",""driverLastName"":""Robusto"",""driverName"":""Will Robusto"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","34.453",34453,"34.836",34836,"32.131",32131,"00:24.178",24178,"00:10.275",10275,"00:19.143",19143,"00:15.693",15693,"00:12.313",12313,"00:19.818",19818
"2","Will Robusto","9","9","1:41.208",101208,"15:59.892",959892,"17:06:00.199","Am","Green Flag","Will","Robusto","","","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","13680718","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Will"",""transponderNumber"":""13680718"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver3licenseNationality"":"""",""driver3nationality"":"""",""number"":""2"",""driver2driverId"":"""",""driver1driverId"":"""",""isIGTC"":"""",""car"":""Toyota GR86"",""sponsors"":""RVA Graphics and Wraps"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver3category"":"""",""driver3lastName"":"""",""driver1nationality"":""USA"",""racelinkNumber"":""219195"",""team"":""RVA Graphics Motorsports by Speed Syndicate"",""driver1lastName"":""Robusto"",""driver2firstName"":"""",""driver2lastName"":"""",""driver3driverId"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup"",""driver3firstName"":""""},""updatedAt"":""2024-10-03T14:41:13.195Z"",""id"":""entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF"",""createdAt"":""2024-10-01T22:08:24.809Z"",""eventId"":""events:2024-sro-ims""}","{"""":{""driverFirstName"":""Will"",""driverLastName"":""Robusto"",""driverName"":""Will Robusto"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","34.531",34531,"34.958",34958,"31.719",31719,"00:24.199",24199,"00:10.332",10332,"00:19.536",19536,"00:15.422",15422,"00:12.163",12163,"00:19.556",19556
"2","Will Robusto","10","10","1:40.681",100681,"17:40.573",1060573,"17:07:40.880","Am","Green Flag","Will","Robusto","","","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF","13680718","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Will"",""transponderNumber"":""13680718"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver3licenseNationality"":"""",""driver3nationality"":"""",""number"":""2"",""driver2driverId"":"""",""driver1driverId"":"""",""isIGTC"":"""",""car"":""Toyota GR86"",""sponsors"":""RVA Graphics and Wraps"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver3category"":"""",""driver3lastName"":"""",""driver1nationality"":""USA"",""racelinkNumber"":""219195"",""team"":""RVA Graphics Motorsports by Speed Syndicate"",""driver1lastName"":""Robusto"",""driver2firstName"":"""",""driver2lastName"":"""",""driver3driverId"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup"",""driver3firstName"":""""},""updatedAt"":""2024-10-03T14:41:13.195Z"",""id"":""entries:events-2024-sro-ims:GnfEkYNtyOma0Y6zGQJMF"",""createdAt"":""2024-10-01T22:08:24.809Z"",""eventId"":""events:2024-sro-ims""}","{"""":{""driverFirstName"":""Will"",""driverLastName"":""Robusto"",""driverName"":""Will Robusto"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","34.500",34500,"34.423",34423,"31.758",31758,"00:24.273",24273,"00:10.227",10227,"00:19.118",19118,"00:15.305",15305,"00:12.055",12055,"00:19.703",19703
